T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
20,0.0,1,359971,0.100315,0.074054,35.462,289903,2192970,86.7803,0.017564
20,0.0,1,359979,0.16251,0.152303,6.7018,198983,2219443,91.0346,0.035209
20,0.0,1,359982,0.191493,0.191489,0.0021,1290065,2257560,42.8558,0.038499
20,0.0,1,359983,0.272251,0.272251,0.0,1080898,2765344,60.9127,-0.03775
20,0.0,2,190137,0.141292,0.141292,0.0,258901,966908,73.2238,-0.019871
20,0.0,2,190410,0.442706,0.43374,2.0671,869295,2133582,59.2565,0.055669
20,0.0,2,190411,0.293145,0.293145,0.0,534361,1588070,66.3515,0.001757
20,0.0,2,359962,0.3241,0.311685,3.9832,190882,821816,76.7731,0.022696
20,0.0,2,359968,0.143561,0.141681,1.3269,476361,1567975,69.6193,-0.049975
20,0.0,2,359972,0.130461,0.130461,0.0,840594,2115802,60.2707,-0.10678
20,0.1,0,146820,0.038271,0.038271,0.0,557643,1740856,67.9673,-0.086659
20,0.1,0,168350,0.235516,0.23352,0.8547,442915,1704624,74.0169,-0.029591
20,0.1,0,190392,0.343725,0.331513,3.6837,290517,2030996,85.6958,0.028293
20,0.1,0,359956,0.291353,0.291353,-0.0,645228,1344057,51.994,-0.041098
20,0.1,0,359965,0.015906,0.015906,0.0,808336,2178742,62.899,-0.137942
20,0.1,0,359975,0.016665,0.016665,0.0,310628,865147,64.0954,-0.053711
20,0.1,0,359980,0.067476,0.067476,0.0,1512579,3195868,52.6708,-0.104214
20,0.1,1,168757,0.481284,0.481284,0.0,1081736,1089097,0.6759,0.097167
20,0.1,1,168911,0.395381,0.395381,0.0,879961,1078823,18.4332,0.002945
20,0.1,1,359958,0.174458,0.174458,0.0,856770,1203016,28.7815,0.021528
